Award Name,Level Of Study,Award Type,Award Amount,Deadline
"Petroleum Engineering Scholarships
                                            


                                            Organization:
                                             Society of Petroleum Engineers - Evangeline Section 


                                            Purposes: To support the education of students majoring in petroleum engineering at Louisiana State University (LSU) or the University of Louisiana at Lafayette (ULL).",Bachelor's Degree,Scholarship,N/A,
"Golen Engine Scholarship
                                            


                                            Organization:
                                             Golen Engine Service 


                                            Purposes: To support students pursuing engineering degrees.",Bachelor's Degree,Scholarship,$500,November
"ASHARE Undergraduate Engineering Scholarships
                                            


                                            Organization:
                                             American Society of Heating, Refrigerating and Air-Conditioning 


                                            Purposes: To recognize the eligible schools or accredited programs.",Bachelor's Degree,Scholarship,"$3,000  $10,000",December
"Malayalee Engineers Association Scholarships
                                            


                                            Organization:
                                             Malayalee Engineers Association 


                                            Purposes: To encourage young professionals to pursue their engineering, technology, computer science, or naval architecture studies towards a Bachelor's Degree.",N/A,Scholarship,N/A,December
"Melvin Kruger Endowed Scholarship Program
                                            


                                            Organization:
                                             Roofing Alliance: The Foundation of NRCA 


                                            Purposes: To help employees and their families who plan to pursue post-secondary education in college and vocational programs.",Bachelor's Degree  High School,Scholarship,N/A,
"Arsham Amirikian Engineering Scholarship
                                            


                                            Organization:
                                             American Welding Society 


                                            Purposes: To provide financial assistance to an engineering student pursuing a career in the art of welding in civil and structural engineering.",Bachelor's Degree  High School,Scholarship,"$2,500",March
"UPS Industrial Engineer Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,375",
"AIST Foundation Engineering Scholarship
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To support talented and dedicated students to encourage them to pursue careers within iron-and steel-related industries.",Bachelor's Degree,Scholarship,"$3,000",October
"United Engineering Foundation Grants
                                            


                                            Organization:
                                             United Engineering Foundation 


                                            Purposes: To support engineering and education.",Associate Degree  Bachelor's Degree  Graduate Degree  High School  Professional Development  Vocational,Grant,N/A,August
"Georgia Engineering Foundation Scholarships
                                            


                                            Organization:
                                             Georgia Engineering Foundation 


                                            Purposes: To provide engineering Foundation has sponsored a program that awards college scholarships to worthy Georgia students.",Bachelor's Degree,Scholarship,"$1,000  $5,000",
"Duluth Builders Exchange Legacy Fund
                                            


                                            Organization:
                                             Duluth Superior Area Community Foundation 


                                            Purposes: To assist students and apprentices pursue careers in the local construction industry.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,N/A,
"SOM Foundation Structural Engineering Fellowship
                                            


                                            Organization:
                                             Skidmore, Owings and Merrill Foundation 


                                            Purposes: To recognize a graduating student based in the United States who specializes in structural engineering to conduct independent travel and research that contributes to the SOM Foundation’s current topic.",Bachelor's Degree  Graduate Degree,Fellowship,"$20,000",March
"Optical Design and Engineering Scholarship
                                            


                                            Organization:
                                             SPIE 


                                            Purposes: To provide full-time undergraduate or graduate student in the field of optical design and engineering.",Bachelor's Degree  Graduate Degree  Professional Development,Scholarship,"$5,000",February
"Michelle Tortolani Engineering Leadership Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",February
"CitizenshipTests.org Engineering and Science Scholarship
                                            


                                            Organization:
                                             Deedal Studio Inc. 


                                            Purposes: To provide financial assistance to engineering and science students with good academic standing and involvement in the community.",Bachelor's Degree,Scholarship,"$1,000",April
"Govind and Bahki Nadkarni Engineering Scholarship
                                            


                                            Organization:
                                             Coastal Bend Community Foundation 


                                            Purposes: To support Coastal Bend students intending to study civil engineering at area universities.",Bachelor's Degree,Scholarship,N/A,March
"GE Foundation Engineering Scholarship Program (Upperclassman)
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$10,000",February
"GE Foundation Engineering Scholarship Program (Freshman)
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",March
"National GEM Consortium - PhD Engineering Fellowship
                                            


                                            Organization:
                                             National GEM Consortium 


                                            Purposes: To offer funding to underrepresented minority students who have either completed or are currently enrolled in a master's in engineering program.",Graduate Degree,Fellowship,"$16,000",October
"AfterCollege Engineering & Technology Student Scholarship
                                            


                                            Organization:
                                             AfterCollege 


                                            Purposes: To support current students working toward a degree in a field of engineering, mathematics, or computers.",Bachelor's Degree  Graduate Degree,Scholarship,$500,
"Michigan Society of Professional Engineers Scholarships
                                            


                                            Organization:
                                             Michigan Society of Professional Engineers 


                                            Purposes: To support high school students who have talent and commitment in pursuing engineering degree.",Bachelor's Degree  Graduate Degree  High School,Scholarship,N/A,February
"Montana Broadcasters Association Broadcast Engineering Scholarships
                                            


                                            Organization:
                                             Montana Broadcasters Association 


                                            Purposes: To promote the values of local, free over-the-air broadcasting to the business community, governmental bodies and the general public in Montana; and to support the Montana broadcasting industry by providing services, information, continuing education, recruitment and a strong unified voice.",Associate Degree  Bachelor's Degree,Scholarship,N/A,February
"Laser Technology, Engineering and Applications Scholarship
                                            


                                            Organization:
                                             SPIE 


                                            Purposes: To recognize student's scholarly achievement in laser technology, engineering, or applications.",Bachelor's Degree  Graduate Degree  High School,Scholarship,"$5,000",February
"AIST Midwest Member Chapter - Engineering Scholarships
                                            


                                            Organization:
                                             Association for Iron and Steel Technology 


                                            Purposes: To provide educational assistance for engineering students.",Bachelor's Degree,Scholarship,"$3,000",January
"Charles E. Behlke Engineering Memorial Scholarships
                                            


                                            Organization:
                                             University of Alaska 


                                            Purposes: To provide financial support to deserving students in Alaska who want to pursue an education in any campus of the University of Alaska.",Bachelor's Degree,Scholarship,N/A,
"Pennsylvania Engineering Foundation (PEF) Grants: Undergraduate
                                            


                                            Organization:
                                             Pennsylvania Society of Professional Engineers 


                                            Purposes: To provide financial assistance for freshmen students to pursue their academic goals in the engineering field of study.",Bachelor's Degree  High School,Scholarship,"$1,000",
"Planning Systems Incorporated and Engineering Scholarship
                                            


                                            Organization:
                                             Navy League of the United States 


                                            Purposes: To support the children or grandchildren of sea services personnel as they pursue higher education.",Bachelor's Degree  Vocational,Scholarship,"$10,000",March
"Lamar University College of Engineering Scholarships
                                            


                                            Organization:
                                             National Eagle Scout Association 


                                            Purposes: To assist students in pursing their higher education.",Bachelor's Degree,Scholarship,"$500  $6,000",February
"Ted G. Wilson Memorial Scholarships
                                            


                                            Organization:
                                             Professional Construction Estimators Association of America, Inc. 


                                            Purposes: To provide scholarships in each of the states that have PCEA chapters.",Bachelor's Degree,Scholarship,"$1,500",
"AISC/Southern Association of Steel Fabricators Scholarships
                                            


                                            Organization:
                                             American Institute of Steel Construction 


                                            Purposes: To provide financial assistance to those studying civil engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",May
"Jacobs Engineering Group/AEESP Outstanding Doctoral Dissertation
                                            


                                            Organization:
                                             CH2M HILL Companies, Ltd. 


                                            Purposes: To recognize outstanding doctoral dissertation that contributes to the advancement of environmental science and engineering.",Graduate Degree,Prize,"$500  $750  $1,500",January
"Michael and Gina Garcia Rail Engineering Scholarships
                                            


                                            Organization:
                                             American Railway Engineering and Maintenance-of-Way Association 


                                            Purposes: To support the education of an engineering student, especially to students already married or supporting a family.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",December
"Roberta Banaszak Gleiter – Engineering Endeavour Scholarship
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
"Institute of Transportation Engineers - Texas District Fellowships
                                            


                                            Organization:
                                             Institute of Transportation Engineers 


                                            Purposes: To promote planning to pursue a Master’s Degree in transportation engineering.",Graduate Degree,Fellowship,"$1,000",May
"International Code Council Scholarship
                                            


                                            Organization:
                                             Federal Alliance For Safe Homes 


                                            Purposes: To support graduate students seeking academic degrees that underpin disaster safety and mitigation, including construction, engineering, financial services, risk communication, social sciences and other related fields.",Graduate Degree,Scholarship,"$1,500",May
"AISC/Ohio Structural Steel Association Scholarships
                                            


                                            Organization:
                                             American Institute of Steel Construction 


                                            Purposes: To provide financial assistance to those studying civil engineering.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",May
"Stuart L. Noderer Memorial Scholarship
                                            


                                            Organization:
                                             The San Diego Foundation 


                                            Purposes: To support the education of students from California.",Bachelor's Degree,Scholarship,N/A,
"Peridian International, Inc./Rae L. Price, FASLA Scholarships
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To support profession of landscape architecture by helping to bring young creative individuals into the profession who may not otherwise have the financial ability to cover all the costs of their educational program.",Bachelor's Degree,Scholarship,"$5,000",February
"Steven G. King Play Environments Scholarship
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To recognize a student who has a high potential in the design of play environments.",Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",February
"Charles DuBose Memorial Scholarship
                                            


                                            Organization:
                                             Connecticut Architecture Foundation 


                                            Purposes: To provide scholarship to students pursuing undergraduate or graduate degrees in architecture.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,200  $5,000",April
"IMS AWWA Graduate Science and Engineering Scholarships
                                            


                                            Organization:
                                             Intermountain Section American Water Works Association 


                                            Purposes: To support students pursuing studies in the field of water quality, supply, and treatment in the Intermountain West.",Graduate Degree,Scholarship,"$1,750",April
"Jacobs Engineering Group/AEESP Outstanding Doctoral Dissertation
                                            


                                            Organization:
                                             Association of Environmental Engineering and Science Professors 


                                            Purposes: To recognize outstanding doctoral dissertation that contributes to the advancement of environmental science and engineering.",Graduate Degree,Prize,"$500  $750  $1,500",January
"Association of Energy Engineers Foundation Scholarship Program
                                            


                                            Organization:
                                             Association of Energy Engineers 


                                            Purposes: To encourage qualified practitioners in energy engineering and energy management by awarding scholarships to further education in the field.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,May
"National Security Technologies Engineering and Science Scholarships
                                            


                                            Organization:
                                             Public Education Foundation 


                                            Purposes: To support CCSD seniors who are pursuing technical degrees that are vital to the future of the Nevada National Security Site.",Bachelor's Degree,Scholarship,N/A,
"Research Internships in Science and Engineering (RISE)
                                            


                                            Organization:
                                             Deutscher Akademischer Austausch Dienst 


                                            Purposes: To provide undergraduate students from the United States, Canada and the UK in the fields of biology, chemistry, physics, earth sciences, engineering and computer science.",Bachelor's Degree,N/A,N/A,
"Galvanize the Future: A Richard L. Brooks Memorial Scholarship
                                            


                                            Organization:
                                             American Galvanizers Association 


                                            Purposes: To assist future specifiers with the rising cost of a college education, and teach these specifiers a little about hot-dip galvanizing.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000  $1,500  $2,500",March
"Glenn T. Seaborg Congressional Science and Engineering Fellowship
                                            


                                            Organization:
                                             American Nuclear Society 


                                            Purposes: To promote a better understanding of public policy procedures.",Professional Development,Fellowship,"$5,000  $80,000",May
"William R. and Mila Kimel Undergraduate Engineering Scholarship
                                            


                                            Organization:
                                             American Nuclear Society 


                                            Purposes: To support students pursuing degrees in nuclear science and related fields.",Bachelor's Degree,Scholarship,"$2,000",February
"Eva Nieminski Honorary Graduate Science and Engineering Scholarship
                                            


                                            Organization:
                                             Intermountain Section American Water Works Association 


                                            Purposes: To encourage science education and training related to the fields of water quality, supply, or treatment and to support an outstanding graduate student in that field.",Graduate Degree,Scholarship,"$1,000",April
"Rocky Mountain Coal Mining Institute Engineering/Geology Scholarships
                                            


                                            Organization:
                                             Rocky Mountain Coal Mining Institute 


                                            Purposes: To support students at a four-year school.",High School,Scholarship,"$2,750",March
"Saul Horowitz Jr. Memorial Graduate Award
                                            


                                            Organization:
                                             AGC Education and Research Foundation 


                                            Purposes: To provide financial support to college seniors enrolled or planning to enroll in a graduate-level construction management or construction-related engineering degree program.",N/A,Prize  Scholarship,"$7,500",
"Alex J. Craig Memorial Scholarship
                                            


                                            Organization:
                                             Parkersburg Area Community Foundation 


                                            Purposes: To support local students pursuing engineering studies or industrial/construction trades.",Bachelor's Degree  Vocational,Scholarship,N/A,March
"Center for Engineering in Medicine Predoctoral Fellows Program
                                            


                                            Organization:
                                             Center for Engineering in Medicine  Massachusetts General Hospital 


                                            Purposes: To offers a variety of training and education programs for predoctoral students.",Professional Development,Fellowship,N/A,
"National GEM Consortium - MS Engineering and Science Fellowships
                                            


                                            Organization:
                                             National GEM Consortium 


                                            Purposes: To support highly qualified but underrepresented students who wish to pursue graduate studies in engineering or science.",Graduate Degree,Fellowship,N/A,
"The Robert P. Stearns/SCS Engineers Scholarship Award
                                            


                                            Organization:
                                             Solid Waste Association of North America 


                                            Purposes: To promote education and professional development in areas of solid waste management by providing financial aid.",Graduate Degree,Scholarship,"$5,000",May
"College of Engineering and Physical Sciences Industry Scholarship
                                            


                                            Organization:
                                             University of New Hampshire 


                                            Purposes: To provide first-Year applicants to the College of Engineering and Physical Sciences.",Bachelor's Degree,Scholarship,N/A,
"Ford Motor Company Fund Engineering Sustainable Systems Fellowship
                                            


                                            Organization:
                                             Center for Sustainable Systems  University of Michigan School of Natural Resources and Environment 


                                            Purposes: To provide support for curriculum development and for fellowships for graduate students in the ESS program.",Graduate Degree,Fellowship,N/A,
"Dr. Paula Marie Stenzler Legacy Scholarship for Engineering
                                            


                                            Organization:
                                             Society of Women Engineers 


                                            Purposes: To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,250",February
"AAAS Mass Media Science & Engineering Fellows program
                                            


                                            Organization:
                                             American Association for the Advancement of Science 


                                            Purposes: To increase public understanding of science and technology.",Bachelor's Degree  Graduate Degree,Fellowship,$500,January
"CNS-UCSB Graduate Fellowships for Science and Engineering
                                            


                                            Organization:
                                             Center for Nanotechnology in Society  Institute for Social, Behavioral, and Economic Research  University of California, Santa Barbara 


                                            Purposes: To support outstanding graduate students who want to pursue research in science and engineering.",Graduate Degree  Professional Development,Fellowship,N/A,June
"Richard T. Gates Engineering and Technology Endowed Challenge
                                            


                                            Organization:
                                             Vermont Student Assistance Corporation 


                                            Purposes: To help worthy and able students pursue undergraduate degrees in engineering or technology.",Bachelor's Degree,Scholarship,"$4,000",February
"Leaders in Engineering Excellence and Diversity Scholars Program
                                            


                                            Organization:
                                             University of Wisconsin-Madison 


                                            Purposes: To attract academically talented women and students from groups historically underrepresented in the field of engineering.",Bachelor's Degree,Scholarship,"$1,500",
"American Council of Engineering Companies of Illinois Scholarships
                                            


                                            Organization:
                                             American Council of Engineering Companies of Illinois 


                                            Purposes: To assist engineering students of Illinois in reaching their goals of higher education.",Bachelor's Degree  Professional Development,Scholarship,N/A,March
"Qualcomm San Diego Science, Technology, Engineering and Mathematics
                                            


                                            Organization:
                                             The San Diego Foundation 


                                            Purposes: To support the education of students from California.",Bachelor's Degree,Scholarship,N/A,February
"Marion A. and Ruth K. Sherwood Engineering Scholarship
                                            


                                            Organization:
                                             Grand Haven Area Community Foundation 


                                            Purposes: To recognize students who demonstrate evidence of academic achievement and plan to pursue the study of engineering.",Bachelor's Degree,Scholarship,N/A,February
"ACI Baker Student Fellowships
                                            


                                            Organization:
                                             American Concrete Institute 


                                            Purposes: To promote undergraduate students entering their junior or senior year with an interest in a career in the construction industry and studying in a civil engineering, structural engineering, or construction industry management program. Internship is requir",Associate Degree  Bachelor's Degree  Graduate Degree  High School  Professional Development  Vocational,Fellowship,N/A,
"Future Contractors Scholarship
                                            


                                            Organization:
                                             California Contractors Insurance Services 


                                            Purposes: CCIS is dedicated to the future of California’s contractor community. We are excited to offer scholarships for graduating high school seniors and currently enrolled college students who are interested in pursuing a career as a contractor.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,$750,
"TrustedPros Scholarships
                                            


                                            Organization:
                                             TrustedPros Inc. 


                                            Purposes: To help lessen educational expenses of deserving students pursuing careers in the construction and skilled trades industries.",Bachelor's Degree,Scholarship,"$1,000",December
"The MTS Student Scholarship for Two-Year, Technical, Engineering and
                                            


                                            Organization:
                                             Marine Technology Society Inc. 


                                            Purposes: To provide scholarships to students focused on studying marine technology, marine engineering, or marine science.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,"$3,000",April
"UCSD Black Alumni Scholarships for Math, Science & Engineering
                                            


                                            Organization:
                                             The San Diego Foundation 


                                            Purposes: To support the education of African American students from California.",Bachelor's Degree,Scholarship,"$2,500  $10,000",March
"Rain Bird Intelligent Use of Water Scholarship
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To support an outstanding landscape architecture, horticulture or irrigation science student.",Bachelor's Degree,Scholarship,"$2,500",February
"Landscape Forms Scholarship in Memory of Peter Lindsay Schaudt, FASLA
                                            


                                            Organization:
                                             Landscape Architecture Foundation 


                                            Purposes: To provide as a landscape architect.",Bachelor's Degree,Scholarship,"$3,000",February
